Star Rating,Review Title,Review Text,Review Last Update Date
5,Awesome,The new UI is fantastic and payments are quick.,2026-01-04
2,Issues,Having login issues since the latest update. @support please fix.,2025-10-11
5,Great App,Works perfectly. I use it every day.,2025-10-22
2,Disappointed,Statements are hard to download. Needs improvement.,2026-02-03
2,Issues,Having login issues since the latest update. @support please fix.,2026-04-04
1,Terrible,Crashes on startup. Unusable.,2026-03-11
3,Average,Customer support is slow to respond to my queries.,2026-01-31
1,Terrible,Crashes on startup. Unusable.,2025-08-15
1,Terrible,Crashes on startup. Unusable.,2025-08-01
4,Good,Good but has some minor bugs.,2026-03-25
1,Terrible,Crashes on startup. Unusable.,2025-11-12
4,Good,Good but has some minor bugs.,2026-01-25
5,Love it,Seamless onboarding process. Very impressed.,2025-10-27
5,Love it,Seamless onboarding process. Very impressed.,2026-03-27
5,Love it,Seamless onboarding process. Very impressed.,2026-03-29
4,Good,Good but has some minor bugs.,2025-12-08
2,Disappointed,Statements are hard to download. Needs improvement.,2026-03-14
1,Terrible,Crashes on startup. Unusable.,2025-08-14
4,Good,Good but has some minor bugs.,2025-09-05
4,Solid,Solid app for KYC but takes too long to approve.,2025-06-24
4,Solid,Solid app for KYC but takes too long to approve.,2025-09-12
4,Solid,Solid app for KYC but takes too long to approve.,2025-10-22
1,Terrible,Crashes on startup. Unusable.,2025-08-21
2,Issues,Having login issues since the latest update. @support please fix.,2025-08-23
1,Terrible,Crashes on startup. Unusable.,2026-04-15
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-01-11
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-03-25
5,Great App,Works perfectly. I use it every day.,2025-11-12
5,Great App,Works perfectly. I use it every day.,2026-02-15
3,Average,Customer support is slow to respond to my queries.,2026-04-25
5,Great App,Works perfectly. I use it every day.,2025-10-03
2,Disappointed,Statements are hard to download. Needs improvement.,2026-03-26
2,Disappointed,Statements are hard to download. Needs improvement.,2025-09-27
2,Disappointed,Statements are hard to download. Needs improvement.,2026-01-11
5,Awesome,The new UI is fantastic and payments are quick.,2025-08-25
5,Great App,Works perfectly. I use it every day.,2026-01-01
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-12-31
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-04-02
5,Awesome,The new UI is fantastic and payments are quick.,2026-02-21
3,Average,Customer support is slow to respond to my queries.,2026-02-01
3,Average,Customer support is slow to respond to my queries.,2025-12-06
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-08-27
5,Awesome,The new UI is fantastic and payments are quick.,2025-07-12
3,Average,Customer support is slow to respond to my queries.,2026-05-16
2,Disappointed,Statements are hard to download. Needs improvement.,2026-02-01
5,Awesome,The new UI is fantastic and payments are quick.,2025-07-22
4,Solid,Solid app for KYC but takes too long to approve.,2026-03-17
5,Great App,Works perfectly. I use it every day.,2025-09-23
3,Average,Customer support is slow to respond to my queries.,2026-04-29
4,Good,Good but has some minor bugs.,2025-07-12
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-12-17
2,Disappointed,Statements are hard to download. Needs improvement.,2025-06-25
5,Great App,Works perfectly. I use it every day.,2025-11-05
5,Awesome,The new UI is fantastic and payments are quick.,2026-05-07
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-11-25
4,Solid,Solid app for KYC but takes too long to approve.,2026-03-20
2,Issues,Having login issues since the latest update. @support please fix.,2026-02-23
5,Awesome,The new UI is fantastic and payments are quick.,2026-01-10
2,Issues,Having login issues since the latest update. @support please fix.,2025-10-10
4,Solid,Solid app for KYC but takes too long to approve.,2025-10-18
2,Issues,Having login issues since the latest update. @support please fix.,2025-11-28
4,Good,Good but has some minor bugs.,2025-12-27
2,Disappointed,Statements are hard to download. Needs improvement.,2026-05-09
5,Awesome,The new UI is fantastic and payments are quick.,2025-11-05
2,Disappointed,Statements are hard to download. Needs improvement.,2025-11-12
5,Awesome,The new UI is fantastic and payments are quick.,2026-01-06
3,Average,Customer support is slow to respond to my queries.,2025-08-26
4,Solid,Solid app for KYC but takes too long to approve.,2025-09-21
4,Good,Good but has some minor bugs.,2026-04-24
2,Issues,Having login issues since the latest update. @support please fix.,2025-10-22
2,Disappointed,Statements are hard to download. Needs improvement.,2025-12-16
4,Solid,Solid app for KYC but takes too long to approve.,2026-05-06
2,Disappointed,Statements are hard to download. Needs improvement.,2026-03-15
4,Solid,Solid app for KYC but takes too long to approve.,2025-07-26
1,Terrible,Crashes on startup. Unusable.,2026-01-03
2,Issues,Having login issues since the latest update. @support please fix.,2026-01-11
4,Good,Good but has some minor bugs.,2025-10-16
4,Good,Good but has some minor bugs.,2025-10-07
5,Great App,Works perfectly. I use it every day.,2026-04-26
3,Average,Customer support is slow to respond to my queries.,2026-03-26
1,Terrible,Crashes on startup. Unusable.,2026-03-02
1,Terrible,Crashes on startup. Unusable.,2025-09-16
4,Good,Good but has some minor bugs.,2025-11-23
2,Disappointed,Statements are hard to download. Needs improvement.,2026-01-08
4,Good,Good but has some minor bugs.,2025-06-16
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-06-13
2,Disappointed,Statements are hard to download. Needs improvement.,2025-09-03
3,Average,Customer support is slow to respond to my queries.,2026-03-28
5,Love it,Seamless onboarding process. Very impressed.,2026-01-12
2,Disappointed,Statements are hard to download. Needs improvement.,2026-04-12
5,Love it,Seamless onboarding process. Very impressed.,2025-12-22
1,Terrible,Crashes on startup. Unusable.,2025-09-30
5,Love it,Seamless onboarding process. Very impressed.,2025-12-09
5,Awesome,The new UI is fantastic and payments are quick.,2025-08-09
5,Awesome,The new UI is fantastic and payments are quick.,2026-04-18
5,Great App,Works perfectly. I use it every day.,2025-06-20
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-01-02
4,Solid,Solid app for KYC but takes too long to approve.,2025-07-13
3,Average,Customer support is slow to respond to my queries.,2026-02-12
2,Disappointed,Statements are hard to download. Needs improvement.,2025-05-24
5,Love it,Seamless onboarding process. Very impressed.,2025-10-01
2,Disappointed,Statements are hard to download. Needs improvement.,2025-08-02
2,Issues,Having login issues since the latest update. @support please fix.,2025-05-28
5,Awesome,The new UI is fantastic and payments are quick.,2025-08-21
3,Average,Customer support is slow to respond to my queries.,2025-06-10
5,Awesome,The new UI is fantastic and payments are quick.,2026-04-04
5,Love it,Seamless onboarding process. Very impressed.,2025-12-04
2,Issues,Having login issues since the latest update. @support please fix.,2026-01-06
1,Terrible,Crashes on startup. Unusable.,2026-02-17
4,Solid,Solid app for KYC but takes too long to approve.,2025-07-10
5,Awesome,The new UI is fantastic and payments are quick.,2025-11-06
5,Love it,Seamless onboarding process. Very impressed.,2026-04-15
1,Terrible,Crashes on startup. Unusable.,2025-10-19
2,Issues,Having login issues since the latest update. @support please fix.,2025-07-16
4,Good,Good but has some minor bugs.,2026-04-27
2,Issues,Having login issues since the latest update. @support please fix.,2026-01-08
1,Terrible,Crashes on startup. Unusable.,2025-12-16
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-03-04
3,Average,Customer support is slow to respond to my queries.,2026-04-23
5,Great App,Works perfectly. I use it every day.,2026-01-09
2,Issues,Having login issues since the latest update. @support please fix.,2025-11-04
5,Great App,Works perfectly. I use it every day.,2026-01-26
3,Average,Customer support is slow to respond to my queries.,2026-05-13
2,Disappointed,Statements are hard to download. Needs improvement.,2026-04-21
5,Great App,Works perfectly. I use it every day.,2025-10-28
1,Terrible,Crashes on startup. Unusable.,2025-05-24
5,Love it,Seamless onboarding process. Very impressed.,2025-10-25
4,Good,Good but has some minor bugs.,2025-06-10
3,Average,Customer support is slow to respond to my queries.,2025-11-10
3,Average,Customer support is slow to respond to my queries.,2025-08-10
5,Great App,Works perfectly. I use it every day.,2026-03-08
4,Good,Good but has some minor bugs.,2025-12-31
4,Good,Good but has some minor bugs.,2025-11-22
4,Good,Good but has some minor bugs.,2026-04-27
4,Good,Good but has some minor bugs.,2025-07-11
2,Issues,Having login issues since the latest update. @support please fix.,2026-01-05
4,Good,Good but has some minor bugs.,2026-02-24
2,Disappointed,Statements are hard to download. Needs improvement.,2025-09-13
3,Average,Customer support is slow to respond to my queries.,2025-06-01
4,Solid,Solid app for KYC but takes too long to approve.,2025-08-24
2,Issues,Having login issues since the latest update. @support please fix.,2025-06-11
4,Solid,Solid app for KYC but takes too long to approve.,2025-12-31
1,Terrible,Crashes on startup. Unusable.,2025-06-02
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-05-30
4,Good,Good but has some minor bugs.,2026-02-18
1,Terrible,Crashes on startup. Unusable.,2025-09-19
5,Awesome,The new UI is fantastic and payments are quick.,2025-08-01
4,Good,Good but has some minor bugs.,2025-11-17
4,Solid,Solid app for KYC but takes too long to approve.,2025-08-25
5,Love it,Seamless onboarding process. Very impressed.,2026-05-16
4,Good,Good but has some minor bugs.,2026-02-06
2,Disappointed,Statements are hard to download. Needs improvement.,2026-03-12
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-05-12
2,Disappointed,Statements are hard to download. Needs improvement.,2026-01-21
2,Disappointed,Statements are hard to download. Needs improvement.,2026-02-01
1,Terrible,Crashes on startup. Unusable.,2026-04-17
4,Solid,Solid app for KYC but takes too long to approve.,2025-10-27
2,Disappointed,Statements are hard to download. Needs improvement.,2025-12-14
2,Issues,Having login issues since the latest update. @support please fix.,2026-01-21
5,Love it,Seamless onboarding process. Very impressed.,2026-02-14
5,Awesome,The new UI is fantastic and payments are quick.,2025-09-04
2,Disappointed,Statements are hard to download. Needs improvement.,2026-05-03
5,Love it,Seamless onboarding process. Very impressed.,2025-06-17
5,Great App,Works perfectly. I use it every day.,2026-03-06
3,Average,Customer support is slow to respond to my queries.,2026-04-07
4,Good,Good but has some minor bugs.,2025-12-22
4,Solid,Solid app for KYC but takes too long to approve.,2026-04-16
1,Terrible,Crashes on startup. Unusable.,2025-06-28
2,Disappointed,Statements are hard to download. Needs improvement.,2025-11-23
2,Disappointed,Statements are hard to download. Needs improvement.,2025-12-28
3,Average,Customer support is slow to respond to my queries.,2026-03-17
4,Good,Good but has some minor bugs.,2025-07-27
5,Great App,Works perfectly. I use it every day.,2026-01-25
5,Great App,Works perfectly. I use it every day.,2025-07-10
4,Solid,Solid app for KYC but takes too long to approve.,2025-10-13
