Star Rating,Review Title,Review Text,Review Last Update Date
3,Average,Customer support is slow to respond to my queries.,2026-01-20
5,Great App,Works perfectly. I use it every day.,2025-11-15
2,Issues,Having login issues since the latest update. @support please fix.,2026-01-02
4,Good,Good but has some minor bugs.,2026-01-15
4,Solid,Solid app for KYC but takes too long to approve.,2025-12-02
5,Awesome,The new UI is fantastic and payments are quick.,2025-09-10
5,Great App,Works perfectly. I use it every day.,2026-01-10
1,Terrible,Crashes on startup. Unusable.,2026-01-01
4,Good,Good but has some minor bugs.,2026-01-09
4,Good,Good but has some minor bugs.,2026-01-18
4,Solid,Solid app for KYC but takes too long to approve.,2026-04-16
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-09-02
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-08-11
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-09-05
2,Issues,Having login issues since the latest update. @support please fix.,2025-08-07
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-10-20
5,Awesome,The new UI is fantastic and payments are quick.,2025-11-11
4,Good,Good but has some minor bugs.,2025-09-06
5,Love it,Seamless onboarding process. Very impressed.,2025-12-10
3,Average,Customer support is slow to respond to my queries.,2025-06-19
5,Love it,Seamless onboarding process. Very impressed.,2026-01-18
2,Disappointed,Statements are hard to download. Needs improvement.,2026-03-24
2,Disappointed,Statements are hard to download. Needs improvement.,2025-10-19
2,Disappointed,Statements are hard to download. Needs improvement.,2025-09-12
5,Love it,Seamless onboarding process. Very impressed.,2026-04-28
2,Disappointed,Statements are hard to download. Needs improvement.,2026-03-12
4,Good,Good but has some minor bugs.,2025-06-25
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-11-25
2,Disappointed,Statements are hard to download. Needs improvement.,2025-08-27
5,Awesome,The new UI is fantastic and payments are quick.,2025-10-31
1,Terrible,Crashes on startup. Unusable.,2026-05-18
5,Love it,Seamless onboarding process. Very impressed.,2026-04-04
