Rating,Review Title,Review,Date,Reviewer
4,Good,Good but has some minor bugs.,2025-10-31,User209
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-10-13,User299
4,Good,Good but has some minor bugs.,2025-06-02,User727
2,Disappointed,Statements are hard to download. Needs improvement.,2025-08-31,User556
5,Great App,Works perfectly. I use it every day.,2025-09-25,User600
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-11-20,User231
5,Love it,Seamless onboarding process. Very impressed.,2025-12-07,User406
4,Good,Good but has some minor bugs.,2025-12-11,User329
5,Awesome,The new UI is fantastic and payments are quick.,2025-08-14,User781
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-04-08,User479
3,Average,Customer support is slow to respond to my queries.,2026-05-28,User181
1,Terrible,Crashes on startup. Unusable.,2025-09-18,User941
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-04-30,User134
3,Average,Customer support is slow to respond to my queries.,2026-05-01,User322
2,Issues,Having login issues since the latest update. @support please fix.,2025-11-03,User698
2,Disappointed,Statements are hard to download. Needs improvement.,2025-05-30,User290
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-08-24,User738
5,Great App,Works perfectly. I use it every day.,2025-06-16,User117
4,Solid,Solid app for KYC but takes too long to approve.,2025-08-19,User632
2,Disappointed,Statements are hard to download. Needs improvement.,2026-04-02,User707
5,Great App,Works perfectly. I use it every day.,2025-08-20,User663
5,Awesome,The new UI is fantastic and payments are quick.,2025-09-18,User690
4,Solid,Solid app for KYC but takes too long to approve.,2026-02-26,User212
3,Average,Customer support is slow to respond to my queries.,2026-05-20,User971
3,Average,Customer support is slow to respond to my queries.,2026-04-02,User250
2,Disappointed,Statements are hard to download. Needs improvement.,2025-06-30,User978
5,Great App,Works perfectly. I use it every day.,2025-10-03,User812
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-09-11,User450
5,Awesome,The new UI is fantastic and payments are quick.,2025-08-11,User606
4,Good,Good but has some minor bugs.,2025-10-07,User379
4,Good,Good but has some minor bugs.,2025-11-22,User464
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-03-10,User993
2,Disappointed,Statements are hard to download. Needs improvement.,2026-04-08,User534
2,Issues,Having login issues since the latest update. @support please fix.,2025-12-23,User410
2,Issues,Having login issues since the latest update. @support please fix.,2025-10-10,User663
3,Average,Customer support is slow to respond to my queries.,2026-04-16,User670
4,Good,Good but has some minor bugs.,2025-07-06,User313
5,Love it,Seamless onboarding process. Very impressed.,2025-06-07,User766
4,Good,Good but has some minor bugs.,2025-12-18,User581
5,Awesome,The new UI is fantastic and payments are quick.,2025-06-14,User747
4,Good,Good but has some minor bugs.,2025-10-09,User112
2,Disappointed,Statements are hard to download. Needs improvement.,2025-09-06,User954
5,Love it,Seamless onboarding process. Very impressed.,2025-10-27,User179
5,Love it,Seamless onboarding process. Very impressed.,2026-02-01,User711
5,Awesome,The new UI is fantastic and payments are quick.,2025-12-21,User194
5,Love it,Seamless onboarding process. Very impressed.,2025-11-06,User927
2,Issues,Having login issues since the latest update. @support please fix.,2026-04-10,User210
4,Good,Good but has some minor bugs.,2026-02-11,User309
4,Solid,Solid app for KYC but takes too long to approve.,2026-03-16,User200
2,Issues,Having login issues since the latest update. @support please fix.,2026-03-09,User352
2,Issues,Having login issues since the latest update. @support please fix.,2026-05-27,User622
4,Good,Good but has some minor bugs.,2026-05-18,User565
5,Awesome,The new UI is fantastic and payments are quick.,2025-10-07,User944
2,Issues,Having login issues since the latest update. @support please fix.,2026-03-17,User938
5,Awesome,The new UI is fantastic and payments are quick.,2025-09-06,User838
1,Terrible,Crashes on startup. Unusable.,2026-03-29,User804
2,Disappointed,Statements are hard to download. Needs improvement.,2025-11-12,User537
4,Solid,Solid app for KYC but takes too long to approve.,2025-08-30,User125
4,Good,Good but has some minor bugs.,2026-01-03,User672
5,Great App,Works perfectly. I use it every day.,2026-02-04,User656
3,Average,Customer support is slow to respond to my queries.,2026-03-06,User471
5,Great App,Works perfectly. I use it every day.,2026-01-24,User780
5,Awesome,The new UI is fantastic and payments are quick.,2025-11-21,User181
3,Average,Customer support is slow to respond to my queries.,2025-12-26,User500
5,Awesome,The new UI is fantastic and payments are quick.,2025-08-15,User479
4,Solid,Solid app for KYC but takes too long to approve.,2026-03-29,User386
2,Disappointed,Statements are hard to download. Needs improvement.,2025-12-29,User976
5,Awesome,The new UI is fantastic and payments are quick.,2025-09-18,User243
1,Terrible,Crashes on startup. Unusable.,2025-12-23,User244
5,Awesome,The new UI is fantastic and payments are quick.,2025-07-08,User468
4,Solid,Solid app for KYC but takes too long to approve.,2025-07-25,User517
4,Solid,Solid app for KYC but takes too long to approve.,2026-04-08,User144
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-10-15,User372
4,Solid,Solid app for KYC but takes too long to approve.,2025-07-24,User122
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-10-22,User555
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-04-30,User509
2,Issues,Having login issues since the latest update. @support please fix.,2026-04-05,User831
4,Good,Good but has some minor bugs.,2025-12-11,User104
5,Great App,Works perfectly. I use it every day.,2026-05-16,User282
4,Solid,Solid app for KYC but takes too long to approve.,2025-10-28,User752
5,Great App,Works perfectly. I use it every day.,2025-09-07,User547
1,Terrible,Crashes on startup. Unusable.,2025-07-31,User230
5,Love it,Seamless onboarding process. Very impressed.,2025-09-18,User720
2,Disappointed,Statements are hard to download. Needs improvement.,2026-02-10,User757
5,Awesome,The new UI is fantastic and payments are quick.,2025-11-02,User699
4,Solid,Solid app for KYC but takes too long to approve.,2026-04-18,User549
3,Average,Customer support is slow to respond to my queries.,2025-09-18,User603
5,Awesome,The new UI is fantastic and payments are quick.,2025-08-16,User847
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-07-21,User322
4,Solid,Solid app for KYC but takes too long to approve.,2025-11-10,User789
4,Solid,Solid app for KYC but takes too long to approve.,2025-09-29,User584
5,Love it,Seamless onboarding process. Very impressed.,2025-05-30,User644
2,Disappointed,Statements are hard to download. Needs improvement.,2025-10-28,User507
4,Good,Good but has some minor bugs.,2026-04-16,User871
4,Good,Good but has some minor bugs.,2025-11-13,User675
2,Issues,Having login issues since the latest update. @support please fix.,2026-01-06,User362
5,Love it,Seamless onboarding process. Very impressed.,2025-11-19,User756
3,Average,Customer support is slow to respond to my queries.,2026-04-06,User120
4,Good,Good but has some minor bugs.,2025-06-19,User311
4,Good,Good but has some minor bugs.,2025-08-23,User310
3,Average,Customer support is slow to respond to my queries.,2026-03-20,User154
2,Issues,Having login issues since the latest update. @support please fix.,2025-12-29,User368
5,Awesome,The new UI is fantastic and payments are quick.,2025-06-03,User612
4,Good,Good but has some minor bugs.,2025-09-17,User834
5,Love it,Seamless onboarding process. Very impressed.,2025-08-22,User966
2,Issues,Having login issues since the latest update. @support please fix.,2025-12-23,User262
5,Awesome,The new UI is fantastic and payments are quick.,2026-03-01,User424
2,Issues,Having login issues since the latest update. @support please fix.,2026-01-04,User297
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-08-20,User580
5,Awesome,The new UI is fantastic and payments are quick.,2025-07-18,User585
3,Average,Customer support is slow to respond to my queries.,2025-06-21,User536
4,Solid,Solid app for KYC but takes too long to approve.,2025-07-25,User604
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-08-08,User361
4,Good,Good but has some minor bugs.,2026-01-12,User556
3,Average,Customer support is slow to respond to my queries.,2025-06-29,User602
