Rating,Review Title,Review,Date,Reviewer
4,Solid,Solid app for KYC but takes too long to approve.,2026-04-23,User684
2,Disappointed,Statements are hard to download. Needs improvement.,2025-10-04,User155
4,Solid,Solid app for KYC but takes too long to approve.,2026-02-27,User416
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-06-28,User596
2,Issues,Having login issues since the latest update. @support please fix.,2026-01-09,User725
5,Great App,Works perfectly. I use it every day.,2025-12-10,User633
5,Love it,Seamless onboarding process. Very impressed.,2025-12-20,User769
4,Solid,Solid app for KYC but takes too long to approve.,2025-09-04,User544
5,Great App,Works perfectly. I use it every day.,2025-09-06,User953
5,Great App,Works perfectly. I use it every day.,2025-11-10,User697
2,Issues,Having login issues since the latest update. @support please fix.,2026-01-14,User802
5,Awesome,The new UI is fantastic and payments are quick.,2026-05-11,User176
4,Solid,Solid app for KYC but takes too long to approve.,2025-08-03,User552
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-09-27,User295
4,Solid,Solid app for KYC but takes too long to approve.,2025-11-08,User753
1,Terrible,Crashes on startup. Unusable.,2026-01-30,User604
2,Disappointed,Statements are hard to download. Needs improvement.,2025-08-19,User226
5,Love it,Seamless onboarding process. Very impressed.,2025-08-03,User677
4,Good,Good but has some minor bugs.,2026-04-23,User801
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-05-05,User983
4,Solid,Solid app for KYC but takes too long to approve.,2025-08-19,User586
5,Love it,Seamless onboarding process. Very impressed.,2025-07-04,User921
5,Love it,Seamless onboarding process. Very impressed.,2025-09-27,User486
2,Disappointed,Statements are hard to download. Needs improvement.,2025-07-05,User887
3,Average,Customer support is slow to respond to my queries.,2026-03-26,User699
4,Good,Good but has some minor bugs.,2025-07-29,User894
5,Great App,Works perfectly. I use it every day.,2025-10-07,User422
2,Issues,Having login issues since the latest update. @support please fix.,2025-12-09,User182
1,Terrible,Crashes on startup. Unusable.,2026-04-02,User714
4,Solid,Solid app for KYC but takes too long to approve.,2025-06-08,User754
1,Terrible,Crashes on startup. Unusable.,2026-04-29,User160
2,Issues,Having login issues since the latest update. @support please fix.,2026-03-07,User195
5,Love it,Seamless onboarding process. Very impressed.,2026-04-10,User185
2,Disappointed,Statements are hard to download. Needs improvement.,2025-11-04,User632
5,Awesome,The new UI is fantastic and payments are quick.,2025-06-15,User664
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-03-16,User214
5,Great App,Works perfectly. I use it every day.,2026-04-04,User990
4,Solid,Solid app for KYC but takes too long to approve.,2026-03-16,User689
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-04-14,User519
2,Disappointed,Statements are hard to download. Needs improvement.,2025-12-23,User266
5,Great App,Works perfectly. I use it every day.,2026-04-21,User113
2,Disappointed,Statements are hard to download. Needs improvement.,2025-07-18,User185
1,Terrible,Crashes on startup. Unusable.,2026-03-05,User118
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-05-17,User877
5,Love it,Seamless onboarding process. Very impressed.,2026-02-12,User803
1,Terrible,Crashes on startup. Unusable.,2026-02-02,User802
5,Love it,Seamless onboarding process. Very impressed.,2026-03-17,User388
4,Good,Good but has some minor bugs.,2025-10-16,User895
4,Solid,Solid app for KYC but takes too long to approve.,2025-05-31,User371
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-08-11,User474
4,Solid,Solid app for KYC but takes too long to approve.,2025-10-04,User960
4,Good,Good but has some minor bugs.,2025-11-16,User458
5,Love it,Seamless onboarding process. Very impressed.,2025-11-12,User928
1,Terrible,Crashes on startup. Unusable.,2026-02-05,User816
4,Solid,Solid app for KYC but takes too long to approve.,2025-07-21,User162
1,Terrible,Crashes on startup. Unusable.,2026-02-19,User545
2,Issues,Having login issues since the latest update. @support please fix.,2026-02-06,User748
5,Great App,Works perfectly. I use it every day.,2026-03-18,User863
5,Love it,Seamless onboarding process. Very impressed.,2026-03-12,User332
2,Issues,Having login issues since the latest update. @support please fix.,2025-09-06,User929
2,Disappointed,Statements are hard to download. Needs improvement.,2025-11-10,User169
5,Love it,Seamless onboarding process. Very impressed.,2025-10-13,User224
4,Good,Good but has some minor bugs.,2025-12-24,User319
4,Solid,Solid app for KYC but takes too long to approve.,2025-07-02,User975
2,Issues,Having login issues since the latest update. @support please fix.,2026-01-16,User725
4,Good,Good but has some minor bugs.,2026-05-09,User321
1,Terrible,Crashes on startup. Unusable.,2026-01-31,User487
4,Solid,Solid app for KYC but takes too long to approve.,2026-03-31,User271
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-08-28,User755
4,Solid,Solid app for KYC but takes too long to approve.,2026-02-10,User804
4,Good,Good but has some minor bugs.,2026-05-06,User506
1,Terrible,Crashes on startup. Unusable.,2025-09-20,User152
2,Disappointed,Statements are hard to download. Needs improvement.,2025-06-13,User930
5,Awesome,The new UI is fantastic and payments are quick.,2025-09-10,User233
